Date,Open,High,Low,Close,Adj Close,Volume
1994-05-01,12.625000,12.812500,11.187500,11.750000,7.437469,117105400
1994-06-01,11.812500,12.812500,11.187500,12.125000,7.674837,109167800
1994-07-01,12.375000,13.125000,11.937500,12.500000,7.940690,79164200
1994-08-01,12.500000,12.750000,11.812500,12.312500,7.821576,102976600
1994-09-01,12.375000,13.000000,11.500000,11.687500,7.450455,122978800
1994-10-01,11.812500,12.187500,11.250000,11.750000,7.490296,87277000
1994-11-01,11.750000,12.250000,11.250000,11.625000,7.410612,123955600
1994-12-01,11.562500,11.625000,10.500000,10.625000,6.797753,153246600
1995-01-01,10.687500,11.625000,10.250000,11.437500,7.317582,136212000
1995-02-01,11.562500,12.125000,11.437500,11.875000,7.597487,106559600
1995-03-01,11.937500,12.937500,11.875000,12.812500,8.197293,134599200
1995-04-01,12.812500,13.062500,11.687500,11.875000,7.628154,116585600
1995-05-01,11.750000,12.812500,11.375000,12.437500,7.989486,146709400
1995-06-01,12.500000,13.500000,12.250000,13.375000,8.591712,142376000
1995-07-01,13.375000,13.812500,12.812500,13.312500,8.585401,109302400
1995-08-01,13.312500,13.312500,12.125000,12.250000,7.900182,132467800
1995-09-01,12.312500,12.937500,12.312500,12.375000,8.012842,121403800
1995-10-01,12.312500,12.437500,10.750000,10.812500,7.001122,195144800
1995-11-01,10.812500,12.500000,10.812500,12.000000,7.770029,134228200
1995-12-01,12.062500,12.250000,11.062500,11.125000,7.232988,127829800
1996-01-01,11.125000,12.062500,9.546875,10.187500,6.623468,241488400
1996-02-01,10.125000,11.437500,10.062500,10.625000,6.907910,181546000
1996-03-01,10.750000,12.375000,10.500000,11.500000,7.476798,190733400
1996-04-01,11.625000,11.937500,10.750000,11.937500,7.796219,145831800
1996-05-01,11.937500,13.187500,11.625000,12.937500,8.449308,179406600
1996-06-01,13.000000,13.250000,12.312500,12.687500,8.286033,139950200
1996-07-01,12.687500,12.687500,10.875000,12.000000,7.869116,111353200
1996-08-01,12.000000,14.000000,12.000000,13.187500,8.647837,155163000
1996-09-01,13.000000,14.000000,12.812500,13.187500,8.682078,107892000
1996-10-01,13.000000,14.125000,12.750000,13.250000,8.723224,122870400
1996-11-01,13.375000,13.562500,12.000000,12.750000,8.394044,163109200
1996-12-01,12.812500,13.062500,11.375000,11.375000,7.488808,141203000
1997-01-01,11.500000,12.125000,11.000000,11.875000,7.851782,191456000
1997-02-01,11.875000,13.500000,11.500000,13.187500,8.719611,172880800
1997-03-01,13.125000,14.937500,13.125000,13.937500,9.215515,228633600
1997-04-01,13.812500,14.437500,13.500000,14.062500,9.342098,137624200
1997-05-01,14.000000,15.312500,13.937500,14.937500,9.923385,141164600
1997-06-01,15.000000,16.968750,14.937500,16.906250,11.231273,144739800
1997-07-01,16.968750,19.562500,16.593750,18.750000,12.506791,168500800
1997-08-01,18.750000,19.500000,17.375000,17.750000,11.839764,130566000
1997-09-01,17.968750,19.781250,17.906250,18.312500,12.214972,122852200
1997-10-01,18.468750,18.625000,15.125000,17.500000,11.714411,138812600
1997-11-01,18.312500,20.437500,17.875000,20.031250,13.408824,108122600
1997-12-01,20.125000,20.968750,18.375000,19.718750,13.199631,105818400
1998-01-01,19.718750,20.968750,18.781250,19.906250,13.369500,113176600
1998-02-01,20.468750,23.968750,20.093750,23.156250,15.552279,109165400
1998-03-01,23.343750,26.125000,23.250000,25.406250,17.063433,136236400
1998-04-01,25.406250,26.968750,24.093750,25.281250,17.030861,119430600
1998-05-01,25.625000,28.187500,24.875000,27.562500,18.567648,102331600
1998-06-01,27.843750,31.437500,27.687500,30.375000,20.462305,129212400
1998-07-01,30.781250,34.843750,29.875000,31.562500,21.319931,133845800
1998-08-01,31.343750,34.906250,28.625000,29.500000,19.926750,166958400
1998-09-01,29.750000,32.375000,26.937500,27.312500,18.449125,199474200
1998-10-01,27.000000,34.718750,26.218750,34.531250,23.383337,193481400
1998-11-01,34.656250,38.625000,33.406250,37.656250,25.499479,130600000
1998-12-01,37.125000,41.375000,35.718750,40.718750,27.573315,120595400
1999-01-01,40.812500,43.218750,38.687500,43.000000,29.177683,131455400
1999-02-01,42.875000,44.750000,40.250000,43.062500,29.220078,130111800
1999-03-01,43.562500,49.187500,41.812500,46.093750,31.276932,178599600
1999-04-01,46.718750,53.406250,43.187500,46.000000,31.278479,201200800
1999-05-01,45.875000,47.625000,41.000000,42.625000,28.983595,163092500
1999-06-01,42.687500,48.500000,42.187500,48.250000,32.808407,130989500
1999-07-01,47.937500,51.000000,42.250000,42.250000,28.762453,105348500
1999-08-01,42.312500,48.437500,38.875000,44.312500,30.166523,127936900
1999-09-01,44.312500,48.000000,43.562500,47.562500,32.379028,106449500
1999-10-01,48.000000,58.500000,47.562500,56.312500,38.376617,152005100
1999-11-01,57.250000,60.687500,55.000000,57.625000,39.271072,119991500
1999-12-01,57.687500,70.250000,57.000000,69.125000,47.108269,137085100
2000-01-01,68.375000,69.000000,53.500000,54.750000,37.339634,135751100
2000-02-01,55.000000,60.125000,43.437500,48.750000,33.247616,230040300
2000-03-01,49.875000,60.750000,45.625000,56.500000,38.533123,231782500
2000-04-01,56.625000,64.937500,51.750000,55.375000,37.813385,136390700
2000-05-01,56.375000,60.000000,49.500000,57.625000,39.349838,144407300
2000-06-01,57.125000,60.062500,51.625000,57.625000,39.349838,129622000
2000-07-01,57.250000,62.937500,54.250000,55.250000,37.769222,107293500
2000-08-01,54.000000,57.625000,47.125000,47.625000,32.556728,192477600
2000-09-01,47.562500,54.750000,46.875000,48.125000,32.898537,150950500
2000-10-01,48.187500,48.625000,41.437500,45.375000,31.053141,217333800
2000-11-01,46.500000,52.187500,42.562500,52.187500,35.715366,196379900
